CISP,Month,Year,Year month,Attempted murder,Rape,Missing people,Homicides,Thefts,Kidnapping,Area,Crimes
4,6,2005,2005-06-01,4,3,7,5,282,0,Praça da República,301
4,7,2005,2005-07-01,1,2,1,10,265,0,Praça da República,279
4,8,2005,2005-08-01,0,2,4,13,319,0,Praça da República,338
4,9,2005,2005-09-01,2,2,2,6,280,2,Praça da República,294
4,10,2005,2005-10-01,0,0,6,4,310,0,Praça da República,320
4,11,2005,2005-11-01,2,1,7,2,258,0,Praça da República,270
4,12,2005,2005-12-01,3,2,2,7,268,0,Praça da República,282
4,1,2006,2006-01-01,1,1,3,4,251,0,Praça da República,260
4,2,2006,2006-02-01,4,0,5,3,319,0,Praça da República,331
4,3,2006,2006-03-01,8,1,4,7,280,0,Praça da República,300
4,4,2006,2006-04-01,5,0,7,11,276,0,Praça da República,299
4,5,2006,2006-05-01,1,0,5,10,291,0,Praça da República,307
4,6,2006,2006-06-01,1,1,5,2,269,0,Praça da República,278
4,7,2006,2006-07-01,1,0,1,8,269,0,Praça da República,279
4,8,2006,2006-08-01,0,1,3,4,250,0,Praça da República,258
4,9,2006,2006-09-01,0,1,3,8,275,0,Praça da República,287
4,10,2006,2006-10-01,1,0,2,6,230,0,Praça da República,239
4,11,2006,2006-11-01,1,4,3,6,261,0,Praça da República,275
4,12,2006,2006-12-01,4,0,4,13,276,0,Praça da República,297
4,1,2007,2007-01-01,1,5,4,3,327,0,Praça da República,340
4,2,2007,2007-02-01,5,2,4,6,379,0,Praça da República,396
4,3,2007,2007-03-01,1,1,3,5,319,0,Praça da República,329
4,4,2007,2007-04-01,9,1,3,11,279,0,Praça da República,303
4,5,2007,2007-05-01,1,1,6,6,325,0,Praça da República,339
4,6,2007,2007-06-01,3,3,3,8,312,0,Praça da República,329
4,7,2007,2007-07-01,0,0,3,11,336,0,Praça da República,350
4,8,2007,2007-08-01,5,1,6,4,356,0,Praça da República,372
4,9,2007,2007-09-01,1,0,3,3,330,0,Praça da República,337
4,10,2007,2007-10-01,7,0,5,14,353,0,Praça da República,379
4,11,2007,2007-11-01,2,2,4,4,344,0,Praça da República,356
4,12,2007,2007-12-01,2,2,3,4,309,0,Praça da República,320
4,1,2008,2008-01-01,1,0,2,11,388,0,Praça da República,402
4,2,2008,2008-02-01,0,1,5,5,380,0,Praça da República,391
4,3,2008,2008-03-01,1,0,1,4,368,0,Praça da República,374
4,4,2008,2008-04-01,3,2,4,6,401,0,Praça da República,416
4,5,2008,2008-05-01,2,0,1,3,289,0,Praça da República,295
4,6,2008,2008-06-01,2,2,4,11,367,0,Praça da República,386
4,7,2008,2008-07-01,2,3,4,8,429,0,Praça da República,446
4,8,2008,2008-08-01,0,0,6,6,375,0,Praça da República,387
4,9,2008,2008-09-01,8,4,1,7,403,0,Praça da República,423
4,10,2008,2008-10-01,1,3,5,3,418,0,Praça da República,430
4,11,2008,2008-11-01,2,1,2,9,376,0,Praça da República,390
4,12,2008,2008-12-01,2,0,2,3,372,0,Praça da República,379
4,1,2009,2009-01-01,12,2,3,5,445,0,Praça da República,467
4,2,2009,2009-02-01,9,2,5,8,444,0,Praça da República,468
4,3,2009,2009-03-01,4,0,3,3,470,0,Praça da República,480
4,4,2009,2009-04-01,0,4,2,9,377,0,Praça da República,392
4,5,2009,2009-05-01,8,1,2,5,385,0,Praça da República,401
4,6,2009,2009-06-01,3,2,7,10,383,0,Praça da República,405
4,7,2009,2009-07-01,1,1,12,5,410,0,Praça da República,429
